Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W]
3330,9000,9000,9000,27001,1,20319.367714,2363.790200
3340,9000,9000,9000,27001,1,20339.372342,2372.974138
3350,9000,9000,9000,27001,1,20359.257309,2381.657017
3360,9000,9000,9000,27001,1,20379.024049,2390.501355
3370,9000,9000,9000,27001,1,20398.673808,2399.760202
3380,9000,9000,9000,27001,1,20418.207077,2408.597352
3390,9000,9000,9000,27001,1,20437.624903,2417.345816
3400,9000,9000,9000,27001,1,20456.928630,2426.343311
3410,9000,9000,9000,27001,1,20476.118982,2435.167779
3420,9000,9000,9000,27001,1,20495.197491,2444.328896
3430,9000,9000,9000,27001,1,20514.164544,2453.316983
3440,9000,9000,9000,27001,1,20533.021151,2462.387755
3450,9000,9000,9000,27001,1,20551.768264,2471.369833
3460,9000,9000,9000,27001,1,20570.407314,2480.003112
3470,9000,9000,9000,27001,1,20588.939129,2488.804389
3480,9000,9000,9000,27001,1,20607.364177,2497.688330
3490,9000,9000,9000,27001,1,20625.683827,2506.568583
3500,9000,9000,9000,27001,1,20643.898604,2515.269968
3510,9000,8999,9000,27000,1,20662.009559,2524.405776
3520,9000,9000,9000,27001,1,20680.017897,2533.451536
3530,9000,9000,9000,27001,1,20697.924231,2542.671743
3540,9000,9000,9000,27001,1,20715.729445,2551.713081
3550,9000,9000,9000,27001,1,20733.434174,2560.573711
3560,9000,9000,9000,27001,1,20751.039478,2569.251923
3570,9000,9000,9000,27001,1,20768.546125,2578.014940
3580,9000,9000,9000,27001,1,20785.954970,2586.863617
3590,9000,9000,9000,27001,1,20803.266936,2595.798836
3600,9000,9000,9000,27001,1,20820.482351,2604.278394
3610,9000,9000,9000,27001,1,20837.602574,2612.842838
3620,9000,9000,9000,27001,1,20854.628389,2621.857150
3630,9000,9000,9000,27001,1,20871.560537,2630.960334
3640,9000,9000,9000,27001,1,20888.399544,2640.153281
3650,9000,9000,9000,27001,1,20905.146123,2649.068996
3660,9000,9000,9000,27001,1,20921.800968,2657.704829
3670,9000,9000,9000,27001,1,20938.365542,2666.983707
3680,9000,9000,9000,27001,1,20954.839869,2675.890441
3690,9000,9000,9000,27001,1,20971.224805,2684.794072
3700,9000,9000,9000,27001,1,20987.521429,2694.068460
3710,9000,9000,9000,27001,1,21003.730170,2703.154644
3720,9000,9000,9000,27001,1,21019.851619,2712.050778
3730,9000,9000,9000,27001,1,21035.886618,2720.755126
3740,9000,9000,9000,27001,1,21051.836118,2729.928473
3750,9000,8999,9000,27000,1,21067.700340,2738.910601
3760,9000,9000,9000,27001,1,21083.480253,2747.699759
3770,9000,9000,9000,27001,1,21099.176310,2756.389725
3780,9000,9000,9000,27001,1,21114.789472,2765.554546
3790,9000,9000,9000,27001,1,21130.320285,2774.237499
3800,9000,9000,9000,27001,1,21145.769255,2782.916228
3810,9000,9000,9000,27001,1,21161.136805,2791.590708
3820,9000,9000,9000,27001,1,21176.424360,2800.842776
3830,9000,9000,9000,27001,1,21191.631974,2809.607812
3840,9000,9000,9000,27001,1,21206.760266,2818.466737
3850,9000,9000,9000,27001,1,21221.810120,2827.224782
3860,9000,9000,9000,27001,1,21236.781928,2836.077299
3870,9000,9000,9000,27001,1,21251.676353,2845.025165
3880,9000,9000,9000,27001,1,21266.493997,2853.871847
3890,9000,9000,9000,27001,1,21281.235068,2862.715416
3900,9000,9000,9000,27001,1,21295.901003,2871.555990
3910,9000,9000,9000,27001,1,21310.491985,2880.592673
3920,9000,9000,9000,27001,1,21325.008577,2889.827276
3930,9000,9000,9000,27001,1,21339.451222,2898.660421
3940,9000,9000,9000,27001,1,21353.820294,2907.390005
3950,9000,9000,9000,27001,1,21368.116777,2916.115992
3960,9000,9000,9000,27001,1,21382.341146,2925.242553
3970,9000,9000,9000,27001,1,21396.493887,2934.367857
3980,9000,9000,9000,27001,1,21410.575282,2942.983582
3990,9000,9000,9000,27001,1,21424.586065,2951.493229
4000,9000,9000,9000,27001,1,21438.526768,2960.202529
4010,9000,9000,9000,27001,1,21452.398135,2969.318164
4020,9000,9000,9000,27001,1,21466.200474,2977.918625
4030,9000,9000,9000,27001,1,21479.934160,2986.514910
4040,9000,9000,9000,27001,1,21493.600071,2995.313704
4050,9000,9000,9000,27001,1,21507.198210,3004.109424
