Tempo(s),Fila,E[N],E[W]
4110,246,95.159140,46.838810
4120,228,95.505549,47.061699
4130,241,95.843768,47.213116
4140,251,96.203319,47.363746
4150,248,96.567677,47.578756
4160,251,96.935333,47.727658
4170,259,97.317727,47.889417
4180,272,97.724046,48.045932
4190,271,98.142227,48.230815
4200,274,98.558900,48.386602
4210,272,98.973095,48.597706
4220,280,99.394135,48.789490
4230,273,99.808730,49.012181
4240,277,100.219617,49.187542
4250,276,100.636056,49.399773
4260,288,101.064840,49.583809
4270,293,101.513969,49.789185
4280,294,101.955623,50.036701
4290,288,102.404387,50.253354
4300,286,102.834029,50.477891
4310,290,103.263167,50.690689
4320,290,103.699040,50.901017
4330,302,104.148538,51.106433
4340,301,104.597549,51.363811
4350,300,105.043392,51.579044
4360,292,105.481665,51.825565
4370,292,105.908417,52.008066
4380,293,106.333368,52.207169
4390,292,106.760180,52.401296
4400,281,107.168149,52.638966
4410,282,107.556009,52.831588
4420,286,107.956210,53.047965
4430,287,108.360918,53.237093
4440,295,108.772992,53.423903
4450,288,109.189242,53.624559
4460,289,109.591351,53.818259
4470,300,110.006138,54.012240
4480,301,110.427956,54.227474
4490,298,110.846919,54.417523
4500,305,111.271154,54.604165
4510,308,111.702744,54.812249
4520,312,112.138266,55.034198
4530,315,112.586473,55.244446
4540,317,113.030472,55.446606
4550,321,113.478548,55.638728
4560,319,113.930317,55.874623
4570,317,114.375586,56.131489
4580,302,114.805269,56.368796
4590,303,115.215148,56.566214
4600,303,115.622624,56.798811
4610,301,116.033815,56.978684
4620,303,116.429981,57.169361
4630,305,116.837614,57.353494
4640,304,117.252629,57.547303
4650,307,117.666860,57.728519
4660,311,118.076314,57.907349
4670,316,118.495406,58.060387
4680,316,118.910308,58.247880
4690,314,119.330307,58.492803
4700,312,119.732751,58.686404
4710,312,120.144253,58.908956
4720,312,120.555765,59.088599
4730,308,120.949706,59.284156
4740,303,121.343348,59.553476
4750,305,121.734627,59.735483
4760,304,122.117448,59.907148
4770,300,122.495005,60.107106
4780,298,122.865242,60.309700
4790,292,123.223011,60.481425
4800,294,123.574796,60.675023
4810,290,123.925607,60.880622
