Tempo(s),E[N],E[W],ErroLittle
3160,105.522546,52.183440,-1.162864
3170,105.736567,50.676418,2.113063
3180,105.957590,52.539984,-1.599423
3190,106.202713,51.419053,0.959927
3200,106.448429,52.165597,-0.373460
3210,106.685111,53.337729,-2.371337
3220,106.884142,53.437913,-2.304717
3230,107.057728,51.390386,2.162219
3240,107.222116,52.214403,0.636113
3250,107.376486,51.925270,1.472085
3260,107.536880,52.148912,1.212632
3270,107.702364,52.993292,-0.309686
3280,107.875600,52.765467,0.256012
3290,108.049520,53.071481,-0.316721
3300,108.236943,52.911701,0.153532
3310,108.427125,51.436569,3.366922
3320,108.584016,52.094802,2.340142
3330,108.736109,53.675058,-0.835550
3340,108.887607,52.390694,1.979684
3350,109.030783,55.695392,-4.670940
3360,109.197650,53.014818,0.913077
3370,109.332271,51.212512,4.903334
3380,109.445936,53.065355,1.259407
3390,109.534532,52.663783,2.202670
3400,109.608399,53.040465,1.560293
3410,109.691846,53.906983,-0.191761
3420,109.793654,53.365785,1.043130
3430,109.896545,53.791732,0.277716
3440,109.997020,54.153749,-0.416820
3450,110.075160,54.169604,-0.430138
3460,110.117691,54.857280,-1.673753
3470,110.139837,54.644395,-1.233056
3480,110.173610,53.245314,1.654956
3490,110.166970,53.841092,0.407914
3500,110.163394,54.512069,-0.915276
3510,110.162726,54.828829,-1.550701
3520,110.164136,53.265338,1.689378
3530,110.157398,53.576914,1.094207
3540,110.127783,53.387337,1.488083
3550,110.099520,53.887699,0.474551
3560,110.080136,53.259249,1.606980
3570,110.077392,53.498745,1.133930
3580,110.070990,55.169613,-2.238413
3590,110.084876,53.412819,1.258766
3600,110.088725,53.463422,1.177925
3610,110.098461,54.487779,-0.987771
3620,110.123512,56.001612,-4.038781
3630,110.164814,53.658671,0.704357
3640,110.206632,51.325492,5.598154
3650,110.246742,56.212969,-4.363385
3660,110.294958,53.684178,0.794510
3670,110.343525,54.395036,-0.587821
3680,110.381706,53.136980,1.992808
3690,110.418966,52.953774,2.417987
3700,110.453573,54.558136,-0.857567
3710,110.494500,54.823720,-1.359531
3720,110.532249,53.574278,1.197260
3730,110.579904,53.759339,0.896023
3740,110.611329,53.110860,2.237399
3750,110.623219,53.880865,0.605706
3760,110.632920,53.866649,0.638218
3770,110.634967,53.807209,0.856444
3780,110.631296,53.185620,2.169053
3790,110.619573,55.102873,-1.760415
3800,110.608702,53.562709,1.320827
3810,110.595368,53.446556,1.538230
3820,110.588998,54.125307,0.199227
3830,110.577466,53.525987,1.420761
3840,110.545715,54.334538,-0.174995
3850,110.516017,54.538402,-0.625283
3860,110.483633,53.827823,0.885150
3870,110.437830,54.767318,-0.978586
3880,110.370046,53.344798,1.959066
3890,110.281084,53.705890,1.141890
3900,110.203689,54.502623,-0.568473
3910,110.105824,54.849555,-1.329427
3920,110.004834,53.474971,1.418030
3930,109.876734,53.809987,0.608232
3940,109.765569,54.418962,-0.712979
3950,109.640489,53.273248,1.455502
3960,109.492633,57.291612,-6.745521
3970,109.368094,52.204109,3.388631
3980,109.241399,53.498376,0.645538
3990,109.108417,53.977368,-0.413619
4000,108.961323,53.942822,-0.497041
